sentenca,categoria_maritaka
"A língua bovina deu um toque todo especial, muito macia e sabor inigualável.",comida
Comida muito boa!,comida
Caldeirada de tambaqui maravilhosa,comida
"Muito bom atendimento e pizzas deliciosas, gostei muito do rodízio","<frase>serviço, comida"
Considerada a melhor carne de sol do Norte e a segunda do Norte/Nordeste.,comida
"110 pilas por dois chopps e duas porções pequenas, demoradas e mal feitas.","preço, comida, serviço"
"Comida regional da melhora qualidade, pratos requintados.","comida, bebida, serviço"
Meu café preferido com o melhor pão de queijo de manaus e atendimento maravilhoso,"comida, bebida, serviço"
Lugar muito bom para conversar e excelentes opções de cardápio.,"<frase>ambiente, geral"
Excelente almoço,comida
Atendimento super rápido e comida boa.,"serviço, comida"
Muito bom atendimento e a comida excelente.,"serviço, comida"
Boa comida e preço acessível.,"comida, preço"
A maior parte do cardapio é uma releitura muito bem executada de pratos tradicionais da região.,comida
Pizza boa.,comida
Comida excelente e cardápio bem diversificado.,"comida, cardápio"
"O lugar é muito barulhento, muita gritaria de crianças devido o parquinho que tem dentro do restaurante, pra mim o único defeito.","ambiente, outros"
Variedade boa no cardápio.,comida
Pizza perfeita,"a frase ""pizza perfeita"" contém temas relacionados a:- comida"
Pedi bem passado e veio mal passado.,comida
A melhor pizza com nível italianissimo e percebe-se que utilizam bons produtos.,comida
"Ambiente super agradável, ótimo atendimento, pizzas ótimas e brinquedoteca sensacional.","<saída>ambiente, serviço, comida, outros"
"Vários pratos típicos, sugestões ótimas e a comida deliciosa!",comida
"O Restaurante a comida ótima , arejado , bebidas gelada.","comida, bebida, ambiente"
"Ambiente agradavel em otima localizacao exelentes garcon,sem contar que voce nao espera quase nada pra saborear a deliciosa picanha suculenta","serviço, ambiente, localização, comida"
"A comida muito gostosa da primeira vez, mas na segunda a carne tava mais seca.","comida, serviço"
"Atendimento muito, comida com ótimo sabor!","serviço, comida"
"Ambiente agradável e comida deliciosa, mas quanto ao espaço infantil, sugiro ter mais monitoras, principalmente em dias de mais movimento.","ambiente, comida, serviço, outros"
Local agradável e comida deliciosa.,"comida, ambiente"
"Ambiente climatizado, atendimento rápido e pratico, variedades de pratos opcionais, a melhor picanha da cidade, com sabor inconfundível, e as melhores bebidas e sobremesas.","comida, bebida, serviço, ambiente"
VINTE E POUCO A ENTRADA BEM BARATINHO,"na frase ""vinte e pouco a entrada bem baratinho"", os temas identificados são:- preço: ""vinte e pouco""- comida: ""entrada""- geral: ""bem baratinho"""
"Comida muito boa , gostosa , somente o preço é o ponto negativo , outro ponto é o ambiente agradável , mas vale a pena visitar","comida, bebida, preço, ambiente, geral"
Também tivemos uma ótima recepção da recepcionista Kate!,serviço
Comida maravilhosa e excelente atendimento.,"comida, serviço"
Ótimo atendimento e bons pratos.,"serviço, comida"
Comida sensacional.. churrasco de primeira!!,comida
"Delicioso pão francês com queijo coalho, banana pacovan e tucumã",comida
Uma culinária diferenciada e de bom sabor.,comida
"Melhor pão de queijo de Manaus, se for recheado com doce de leite mineiro então..","comida, bebida"
"Pratos bem servidos, para duas ou três pessoas fácil.",comida
Comida deliciosa!,comida
Amoooo essa picanha la parilla que não tem igual na cidade e a costela bovina também é perfeita.,"comida, geral"
"Preços ok, comida boa, drinks mto bons!","preço, comida, bebida"
Atendimento nota 10 nossos pratos foram servidos com perfeição... Desde o atendimento até a finalização com os maravilhosos brownie e cocada com sorvete   Obrigado por servir a nossa família a anos,"serviço, comida, outros"
A melhor carne de Sol de MANAUS.,comida
Boa comida.,comida
"Excelente comida, preço justo pelo que foi oferecido, sem falar no atendimento excelente do garçom Pablo.","comida, preço, serviço"
"Ambiente maneiro, comida deliciosa, atendimento   muito bom e pra terminar tem abacaxi com groselha!!","ambiente, comida, serviço, outros"
"Pedi o Pirarucu com banana e queijo coalho, e experimentei o camarão na manteiga!","comida, bebida"
"Sem dúvida, a melhor pizza de Manaus.",comida
Partindo da recomendação do trip advisor escolhemos o número um de Manaus em comida regional.,"comida, serviço"
"Comida farta, regional, saborosa e impecável.","comida, serviço"
Melhor culinária,comida
"Comida deliciosa, um pouco caro comparado até mesmo com bons restaurantes portugueses de SP.","<frase>comida, preço"
Uma ótima surpresa,"na frase ""uma ótima surpresa"", não há informações suficientes para identificar claramente os temas mencionados, pois não há sentenças específicas sobre comida, bebida, serviço, ambiente, localização, preço ou geral a expressão pode ser uma opinião geral positiva sobre a experiência no restaurante, mas sem detalhes, não é possível determinar com precisão quais temas estão sendo abordados"
"Há muitas opções no menu deles, os mais variados tipos de carnes.",comida
"O caldo de piranha foi a minha primeira grande surpresa, pois foi a primeira vez que eu provei, em seguida uma Matrinchã assada, que é servida em cima de uma folha de bananeira, vale muito experimentar.","comida, serviço"
"Comida regional muito cara , atendimento muito ruim , precissa fazer fila para tapiocas e sanduche , variedade de pães muito limitada!","serviço, comida, bebida, localização, outros"
Melhor banda de Tambaqui que já comi... Porção generosa por um bom preço,"comida, preço"
Comemos no Banzeiro um Tambaqui maravilhoso.,comida
Acho que os peixes de água doce tem um sabor muito forte de que pessoalmente não me agrada muito.,comida
"Cerveja estupidamente gelada, petiscos de primeira e ótimas opções pra quem gosta de variedades de cerveja.","bebida, comida"
(Tradução do Google) A melhor comida de sempre !!!,comida
Comida regional amazonense muito boa.,comida
Carnes saborosas com varias opções!,comida
Decoração belíssima mas infelizmente o sabor da comida não é igual ao da culinária paraense.,"ambiente, comida"
Comida gostosa e cerpa geladissima!,"comida, bebida"
Com minha família comer a tradicional carne de sol que inclusive a mesma carne de sempre muito boa porém os acompanhamentos estavam a desejar hoje.,"comida, serviço"
"Local agradável, boa musica  e comida excelente.","ambiente, comida"
Sou de Manaus e difícilmente fui a restaurante de comida regional tão MARAVILHOSO!,"comida, geral"
Comida muito boa,comida
As batatas fritas com sal trufas são fenomenais!,comida
Fila grande para compra.,"como sou um modelo de ia especializado em compreensão da língua portuguesa, posso analisar a frase que você forneceu no entanto, parece que houve um erro no exemplo que você deu, pois a frase ""fila grande para compra"" não menciona um restaurante específico ou qualquer um dos temas que você pediu para identificar ela apenas indica uma fila grande para comprar algo, o que não é suficiente para determinar se o contexto é de um restaurante ou outro tipo de estabelecimento comercialpara que eu possa ajudá-lo corretamente, você precisa fornecer uma frase ou comentário que esteja relacionado a um restaurante e que inclua informações sobre os temas que você está interessado em identificar (serviço, bebida, ambiente, comida, localização, preço, geral ou outros)"
"Porém na comida, deixou um pouco a desejar, achei os pratos pequenos, alguns...Mais","comida, serviço"
"Restaurante com comida regional variada, adequado para reuniões Vips, preço alto.","comida, serviço, preço"
Faz uma releitura perfeita de pratos tradicionais brasileiros para o amazonense.,comida
"Adoro esse lugar, um restaurante charmoso e aconchegante, familiar e jovial, atendimento de qualidade e os pratos maravilhosos.","<frase>ambiente, geral, serviço, comida"
O lugar é LIMPO na região central da cidade.,"ambiente, localização"
"Terrível, lasanha horrível, qualquer sabor, não recomendo, paguei caro e não saí satisfeito","comida, preço, geral"
"Atendimento atencioso, comida deliciosa e preço justo!","serviço, comida, preço"
"Um cardápio amplo, com entradas, pratos principais que servem até 03 pess.",comida
"Local agradável, bom atendimento e rodízio excelente!!!","comida, ambiente, serviço"
"Ótimo lugar, com uma variedade interessante de massas.",comida
Muito boa comida e quantidade compatível ao q é determinado no cardápio.,comida
Enorme variedade de cervejas e pratos típicos alemãs maravilhosos.,"comida, bebida"
"pedi uma costela suína, meu amigo...muto delicioso.",comida
"Bom atendimento é tudo que o cliente precisa, satisfação e isso foi o melhor e o mais importante a deliciosa carne de sol continua a melhor da cidade de Manaus","serviço, comida"
Comida saborosa,comida
"Lugar sensacional, pizza perfeita.",comida
"O menu executivo do almoço, delicioso!",comida
"Comida saborosa, bom atendimento e bom custo/benefício.","comida, serviço, preço"
Boa comida e atendimento.,"comida, serviço"
"Boa comida,ambiente agradável, música boa atendimento excelente Rafael Vieira.","comida, ambiente, serviço"
"É um ambiente familiar, com boa música e em contato direto com a natureza Amazônica","ambiente, música, localização"
Certamente uma das melhores opções para se comer um bom peixe regional.,comida
"Peixe bem servido, tempero ok, local agradável, espaçoso, com ar condicionado, brinquedoteca, atendimento relativamente bom mas o grande pênalti do local é a falta de estacionamento em comparação a um concorrente que está muito próximo.","comida, ambiente, serviço, localização, geral"
"Excelente atendimento das garçonetes venezuelanas, excelente atendimento dos churrasqueiros, delicioso pão de alho, ótima variedade e sabor das comidas do self-service - só houve dois detalhes negativos: 1- a ilha das saladas frias estava descoberta e havia moscas sobrevoando e pousando nas verduras e legumes.","serviço, comida, ambiente"
"Localização perfeita, excelente atendimento, comida gostosa e amplo espaço.","localização, serviço, comida, ambiente"
"Una carne na medida certa e com sabor excelente, apesar do volume.",comida
"Cardápio excelente, com releituras de pratos típicos regionais.",comida
Viva a comida mexicana,comida
"Ambiente lindo, super bem frequentado, comida maravilhosa, shopp geladíssimo, ótimo atendimento.","<frase>ambiente, comida, serviço, bebida"
Pão francês top,pão francês toptemas identificados:comida
"O atendimento é excelente, comida deliciosa e ambiente aconchegante.","comida, ambiente, serviço"
"Espaço fino, requintado, atendimento ágil, melhores tortas, doces e salgados de Manaus.","ambiente, serviço, comida"
Tem ambiente descontraído com música e um empório com varias produtos.,"ambiente, música"
"Aqui e o lugar para tomar aquele açaí tradicional, e muitas outras guloseimas local muito bom lugar, recomendo","comida, ambiente, localização, geral"
Comida muuuito boa!,comida
"Pão só presta no mesmo dia, amanhecer já está duro de mais.",comida
"Ambiente perfeito pra comemorarmos essa data taobmaraviohos , pratos maravilhosos e atendimento impecavel pelo Rodrigo Uchoa .","<frase>ambiente, comida, serviço"
"Infraestrutura boa, comida gostosa.","comida, ambiente"
"Comida normal sem muito sabor, pelo preço esperava mais de uma comoda paraense.","comida, preço"
"Ótimo ambiente,  atendimento de primeira e produtos da melhor qualidade,  comida deliciosa e cardápio sortido.","<frase>ambiente, serviço, comida"
Gostamos de todos e recomendamos para casais que curtem boa comida e...Mais,"comida, bebida, serviço"
"ambiente bem familiar, ótimo atendimento, cardápio eclético e excelente rodízio","serviço, ambiente, comida"
Fui com a família e eu e meu pedimos filé ao molho mostarda.,comida
amei a Matrinchã na farofa com castanha recomendadissimo  muito saboroso,"comida, serviço"
Um ótimo espaço ambiente climatizado ótimo para ir em família e  uma perfeita recepção.,"ambiente, geral"
A moça que opera o caixa no domingo dia 24/04 precisa de uma reciclagem de como atender bem a clientes.,serviço
"Comida saborosa, suco natural delicioso, recepção excelente, tudo muito limpo e enfeitado, atendentes prestativos e atenciosos.","comida, bebida, serviço, ambiente"
"Comida regional muito boa, nas mesas poderia ter uns botões para chamar os garçons.","comida, serviço"
Comida deliciosa!!,comida
Melhor carne de sol de Manaus ?,"comida, localização, outros"
Nosssa uma delícia melhor amburg que já comi música boa habitante maravilhoso.,"<frase>saída: comida, ambiente, serviço"
Comida maravilhosa,comida
Comida maravilhosa,<frase>comida
Ótima atendimento e a melhor carne de sol de Manaus!,"serviço, comida"
"Costumamos frequentar esse restauante, quase todos os Sábados, e nos sentimos muito satisfeitos com o atendimento de primeira e uma saborosa comida, principalmente porque a especialidade deles é PEIXE.","serviço, comida, bebida"
"Embora a culinária seja criativa e mostre uma leitura diferente dos pratos regionais servidos em outros endereços da cidade, no geral o restaurante não correspondeu às expectativas.","geral, comida"
"Gostei do ambiente, fica numa região alta.","ambiente, localização"
"A culinária local é excelente, mas nada se compara ao cardápio e combinações que esse restaurante foi capaz de proporcionar.","comida, bebida, geral"
Peixe pirarucu com banana e queijo e sobremesa banana amazônica.,comida
"Bom fui em um dia de sabado e como todos os locais de qualidade foi preciso aguardar uns 30 minutos porque escolhemois o mesanino para ficar, pois no térreo seria, muito mais tempo acredito.","serviço, ambiente"
"Fomos ao Banzeiro a convite de familiares e a experiência como um todo foi perfeita, sem filas, atendimento bom, ambiente bacana e o mais importante: entradas e pratos sensacionais!","<frase>ambiente, serviço, comida"
Coxinhas sensacional,comida
Pedimos o pirarucu ao molho de shimeji com arroz negro e pure de mandioquinha.,comida
O Banzeiro é um bom restaurante para se degustar a legítima comida manauara e que faz parte da associação dos pratos da boa lembrança.,"comida, ambiente, outros"
"Comida boa ,mas nada de sensacional.",<frase>comida
pizza saborosa e feita na hora.,"comida, ambiente"
Hamburger de carne artesanal maravilhoso!,comida
Comida espetacular e atendimento excelente.,"comida, serviço"
"Comida típica do Norte, peixe e mais peixe.",comida
Lugar aconchegante com boa comida amazonense deliciosa e requintada!,"comida, ambiente"
"Preços ótimos, ambiente agradável (mas não climatizado), carne gostosa, e uma infinidade de pedidos.","<frase>ambiente, comida, preço, serviço"
"Comida maravilhosa, ambiente perfeito..","ambiente, comida"
Comida excelente e preço compatível.,"<frase>comida, preço"
Pratos exóticos e regionais.,comida
"Banda de Tambaqui com farofa de banana , excelente.",comida
Melhor banda de tambaqui de Manaus!!,comida
"Melhor garçom era um tatuado, gente boa.",serviço
Experiência gastronômica de primeira.,comida
Otimo local pra tomar um bom cafe a qualquer hora,"bebida, ambiente"
Ótimas carnes,comida
"Comida excelente, cerveja gelada.","<saída>comida, bebida"
"A questão é a seguinte, vocês oferecem uma comida de alta qualidade, drinks ótimos, cerveja gelada... e aí quando o cliente chega pra estacionar é extremamente mal recebido.","comida, bebida, serviço, localização"
Maravilhoso nota 10 cerveja gelada mega atendimento nota 10 valeu Leo jacaré,"<frase>serviço, bebida, geral"
"Comida variada, sistema interessante.","<frase>comida, serviço"
No carnaval tem a tradicional banda.,"ambiente, geral"
Excelentes profissionais.,serviço
Ótimo atendimento e a cerveja muito gelada,"serviço, bebida"
O melhor café regional de Manaus.,"ambiente, comida, localização"
"Bebidas, sobremesas e porções extras de acompanhamentos tem valores normais de um restaurante.","bebida, comida"
"Cafeteria que serve excelentes cafés especiais de sul de Minas, cardápio bom e variado com farta opções de bebidas clássicas de cafeteria.","<frase>comida, bebida, serviço"
Muito bom amo o atendimento .,serviço
Vinho branco alantejano perfeito .,bebida
"Os ingredientes regionais são explorados de formas inusitadas, alcançando resultados ótimos.",comida
A chefe Debora Shornik conseguiu reinterpretar de forma sutil a diversidade dos sabores amazonicos.,comida
Tem um chopp de vinho delicioso.,bebida
"Comida muito saborosa, ótimo atendimento, uma experiência gastronômica maravilhosa.","comida, serviço"
Ambiente agradável e cerveja barata,"ambiente, bebida"
Muito bom  Palito de tapioca delicioso Churros cabloco incrível Salgado e doce Caipirinha de pingasse jambu especial,"comida, bebida, serviço"
"Local com ótimas variedades para um café da manhã ou da tarde, atendimento rápido e preço moderado.","comida, bebida, serviço, preço"
"Comida boa, bom atendimento, cerveja gelada.","comida, bebida, serviço"
"Nao pudemos ter uma experiência culinária completa, pois optamos pelos mnu do dia, que foi um pouco decepcionante.","comida, serviço"
"Lugar super legal e ambiente aconchegante, atendimento magnifico e comida excelente e café perfeito","ambiente, serviço, comida, bebida"
"Restaurante bem localizado, lugar agradável, estacionamento privativo, cardápio bem variado que vai do petisco maravilhoso de entrada, no principal temos picanhas e diversas outras carnes saborosas, e a sobremesa se vc conseguir tem uma carta bem sortida, além do cardápio de bebidas com aquela cerveja...Mais","localização, ambiente, comida, bebida, serviço, geral"
"Local com café regional maravilhoso, ideal para levar quem visita à cidade.","ambiente, comida, localização"
É um local excelente com bebidas variadas e petiscos deliciosos.,"comida, bebida, serviço"
"Pessoal maravilhoso, pizza muito boa","comida, serviço"
"O melhor da cidade, atendimento 5 estrelas, comida e bebidas maravilhosos e ponto de encontro da galera TOP de Manaus.","<frase>comida, bebida, serviço, geral"
Pedimos uma deliciosa e surpreendente caipirinha de Jambu.,"<frase>bebida, comida"
"Ambiente excelente picanha top atendimento muito bom pessoal atencioso e cordial,bom para ir com a familia ou sozinho tambem fornece servico de transfer de cliente","serviço, ambiente, comida"
"Churrascaria com excelente variedade de saladas, pratos quentes e é claro carnes de primeira, melhor atendimento de Manaus de todos os restaurantes visitados, não deixa a desejar em nada para outras churrascarias famosas dos grandes centros...","comida, serviço, geral"
"Não tive uma boa experiência,  2 horas de espera na fila, só pra entrar no local,  estávamos em 8 pessoas.","localização, serviço"
Culinária com especiarias portuguesas e regionais também.,comida
"Atendimento nota 10 do garçom Pedro Jacks, super gente boa e cordial!",serviço
Ambiente pequeno; atendimento muito bom; petiscos gostosos; música boa... Peço salgado,"<frase>ambiente, serviço, comida, outros"
Sem dúvida uma das melhores carnes de Manaus!,comida
"Melhor picanha, filé, linguiça com queijo ,Steak de alcatra na parrilla, além de ter carnes tradicionais, bebidas e sobremesas e o que mais você quiser pedir!","comida, bebida, serviço"
Pagamos 198 reais e saímos insatisfeitos com a falta de  qualidade e preocupação pelo que estavam servindo.,"preço, geral"
Essa torta servi quantas pessoas e qual o valor?,"comida, preço"
"Prato principal: filé com risoto de parmesão (72) e moqueca de palmito com banana pacovã (57), esperava um pouco mais da moqueca mas foi uma experiência válida.","comida, bebida, serviço"
Uma experiência inesquecível.,"<frase>não é possível fornecer uma saída contendo os nomes dos temas identificados na sentença, já que a frase fornecida não contém informações específicas sobre nenhum dos temas listados (serviço, bebida, ambiente, comida, localização, preço, geral, outros) a frase ""uma experiência inesquecível"" é muito genérica e não permite identificar qualquer um dos temas de análise de restaurantes mencionados"
O melhor Bar  a melhor Feijoada o melhor café da manhã de Domingo.,"comida, bebida, outros"
"Opções de passeios de Sup, mesas ao ar livre ou na área coberta, ameiii que aceitam cartões, atendimento atencioso pela Fabíola, foi uma boa experiência.","serviço, ambiente, localização"
"Atendimento bom, amplo estacionamento (porém em dias movimentados fica cheio), ambiente bem agradável e os hambúrgueres deliciosos!","serviço, ambiente, comida, localização"
Ótimo café!,"ambiente, bebida"
"A otima impressão ja começou quando cheguei apos as 23hrs (o local fica aberto até as 23h, mas devido uma forte chuva, a cidade parou nesse dia, transito ruim, alagamentos, etc) e eles entenderam isso,  tanto que a recepção antes de dizer um não, devido a hora, tratou de checar com a cozinha se poderiam ainda servir.","serviço, ambiente, localização"
"A isca vem numa tapioca típica da região norte, mas o garçom não explica que essa tapioca é super dura, horrível de comer, parece que vai quebrar o dente.","comida, serviço"
Experiência horrível!,geral
"Bom atendimento, cerveja gelada..","serviço, bebida"
Péssima experiência.,geral
A comida muito bem temperada e saborosa na temperatura correta.,comida
"Um bom lugar para reunir toda a família e amigos para tomar um delicioso café regional, com várias opções de tapiocas, pães.","comida, bebida"
"O ambiente é excelente, mas o atendimento é muito demorado, principalmente para trazer uma simples bebida.","<saída>ambiente, serviço, bebida"
Experiência sensacional.,geral
Os melhores vinhos e a melhor gastronomia de Manaus,"comida, bebida"
Melhor café regional da cidade,"ambiente, comida"
Boa carta de vinho.,bebida
Café regional.,"ambiente, bebida, comida"
Gostei do rodízio de massas e das pizzas.. sabores diversos.. fui bem atendido pelos funcionários.. o local estava cheio neste dia.. porém agradável e alegre para quem gosta de uma baguncinha recomendo!!!,"comida, bebida, serviço, ambiente, geral"
Não tinha variedades de carnes brancas.,comida
Excelente café regional em Manaus.,"bebida, ambiente"
Uma churrascaria de qualidade e sempre com as melhores carnes e variedades de buffet.,"comida, bebida, serviço"
atendimento maravilhoso e sabores incríveis ?,"serviço, comida"
"Muito bom mesmo, e o com ótimas variedades de pizza!","comida, bebida"
Estacionamento e uma excelente variedades de carne,"localização, comida"
"Excelente atendimento, muitas opções, ótimo tempero,","serviço, comida"
"Bom astral, bons petiscos, boa música, mas precisa melhorar a qualidade do som","ambiente, comida, outros"
Lugar lindo e café saboroso,"ambiente, comida"
"Uma excelente escolha para uma noite em companhia de muita gente bonita, ótimo atendimento e uma variações de musicas.","ambiente, geral"
"Sushi delicioso, Atendimento muito demorado","<frase>comida, serviço"
"Local confortável, bom atendimento e tem o melhor café da região!","<frase>ambiente, serviço, bebida"
"Excelente restaurante, carnes saborosas e pratos acima da média.","comida, bebida, serviço"
"O happy hour é uma ótima pedida, com excelentes drinks.","bebida, geral"
"O atendimento é muito bom, mas os pratos são um pouco inflacionados e não são bem servidos...vale a experiência, mas realmente não é a verdadeira experiência manauara...gourmet demais.","serviço, comida, preço, geral"
"E cada um que for, terá a sua própria experiência se vale retorno ou não ao restaurante, eu gostei muito, se puder voltarei.","geral, serviço, comida"
"Tem uma boa variedade de pizzas no rodízio, incluindo uns 10 sabores doces, como chocolate com MMs, ovomaltine, chocolate branco, sabores que não aparecem em grande parte dos rodízios de pizza de Manaus.","comida, geral"
Fui no restaurante na semana passada e todos os pratos de peixe estavam muito bons.,comida
"Só tendo a experiência de saborear as melhores carnes, em especial costela barbecue.",comida
"Acomodações externas muito ruim, pessoas fumando em cima da gente, no mais ótimo localização.",localização
"Não tinha os pratos pedidos, música muito alta, barulhos perturbadores vindos do teto... Experiência não muito boa.","ambiente, comida, outros"
"Tem cachaça de tudo quanto é qualidade, cervejas exóticas, tipo de açaí, umas comidas bem legais e muitas coisas importadas.","bebida, comida"
"Excelente lugar para tomar um bom café, comer deliciosa torta, lugar aconchegante e propício para se reunir com a família.","ambiente, comida, bebida"
Ótimo lugar para tomar um ótimo café e reunir os amigos,"<frase>ambiente, bebida"
"Excelente lugar para reunir com amigos no final da tarde, bons petiscos e preço.","comida, bebida, preço"
Baião com tempero único.,comida
"Bar localizado no Largo São Sebastião, serve um ótimo sanduíche de pernil com cerveja bem gelada, ponto de encontro de jornalistas e da boemia da cidade","localização, comida, bebida, geral"
"Maravilhoso esse lugar comida boa bebida, bem familiar, amplo e bem organizado.","<frase>> comida, ambiente, serviço"
Tive uma experiência nem um pouco agradável com o Restaurante.,"comida, bebida, serviço, ambiente, localização, preço, geral, outros"
Couvert artistico valeu a pena.,comida
"Local amplo, cafe bom.","ambiente, comida"
Entrada com um couvert excelente e o melhor camarão e ainda mais com um atendimento  De alto nível  feito pelo Rodrigo Uchoa.,"comida, serviço"
"Bela carta de vinhos, bebidas diversas, peixes muito saborosos e sobremesas divinas.","bebida, comida"
"Comida maravilhosa, super descontos e bebida incrível.","<frase>comida, bebida, serviço"
"Ótimo ambiente, excelente atendimento, comida boa e cerveja gelada.","ambiente, serviço, comida, bebida"
"Boas carnes e ambiente agradável, peca por falta de opções de cardápio.","comida, ambiente, serviço"
"Uma delícia, sabe aquele lugar da sua infância, que te faz imaginar e brincar com os pensamentos, tem uns peixes empalhados muito daora hahaha, pra quem é de fora igual eu foi muito legal conhecer, atendimento nota 10, petiscos regionais  deliciosos hummm... prato principal bem servido, pois quase não conseguíamos dar conta de tudo, tudo bem fresco, feito na hora, bom para crianças, adultos e idosos, pra todos!","comida, ambiente, serviço"
"Tudo organizado, café regional maravilhoso","tudo organizado, café regional maravilhoso"
Lugar agradável para apreciar um bom café,"<frase>ambiente, bebida"
"Cerveja geladissima, bom atendimento, ótimos preços e cardápio variado, ambiente climatizado.","<frase>bebida, serviço, preço, ambiente"
"Muito boa pizza, ótimas variedades de pizza.",comida
"Ótimo ambiente ,com um bar para você esperar sua companhia, com uma boa carta de bebidas,a comida é excelente e o atendimento é bom ,porém os preços são um pouco elevados,mas vale a pena uma visita ao local.","ambiente, comida, bebida, serviço, preço, geral"
"Cerveja gelada, bom atendimento e música agradável.","bebida, serviço, ambiente"
Hambúrguer delicioso e preços variados para todos os bolsos.,"comida, preço"
"Cozinha deliciosa e com pratos bem preparados, tempero suave em sintonia com as recomendações atuais dos nutricionistas.","comida, geral"
Tem várias opções de pratos e sucos regionais.,"comida, bebida"
Atendimento e bebidas excelentes.,"serviço, bebida"
Salgados quentinhos e chegaram bem rápido.,"comida, serviço"
"Restaurante de culinária portuguesa, de longa tradição em Manaus (mais de 20 anos), o Alentejo não decepciona aos amantes de uma boa bacalhoada, em todas as suas mais diversas variedades.","comida, ambiente"
Sucos regionais espetaculares.,bebida
"Fomos em um grupo grande, então foi possível provar vários pratos...Mais","comida, bebida"
É o melhor café regional dentro da cidade.,"comida, bebida, geral"
"Péssima experiência,  buffet  pobre, carnes duras, poucas guarnições, não recomendo,além disso, preço caro, pelo custo x benefício!","comida, serviço, preço"
Aqui tem a melhor picanha e as melhores carnes nobres de manaus,comida
"Tive a recomendação de ir quando estava no Restaurante Terra e Mar, que é do mesmo grupo.",geral
Experiência boa.. Ainda mais se for cedo,"<frase>ambiente, geral"
"Sabor das carnes muito bom, podendo pedir o ponto da carne bem...Mais","comida, serviço"
Cerveja gelada,bebida
Aceitam encomendas para datas festivas.,geral
"A entradinha, um caldo de tambaqui já abre alas pra uma boa experiência gastronômica.",comida
Muito bom café da manhã e opções de bolo e sanduíches.,"<frase>comida, bebida"
"Primeira vez, ótima experiência.",geral
"Atendimento muito ágil, ótimas opções de bebidas quentes e geladas e o pão de tucumã e castanha é simplesmente PER-FEI-TOO!","serviço, bebida, comida"
"Um lugar bonito, café boa e comida boa.","<frase>ambiente, bebida, comida"
Café regional maravilhoso.,"<frase>ambiente, comida"
A cerveja mais gelada de mais atendimento 100%,"serviço, bebida"
"Ambiente bem limpo e climatizado, também tem sucos naturais e saladas, bem como descontos com cartão fidelidade.","ambiente, comida, bebida, serviço"
Não desejo esta horrível experiência à ninguém,não desejo esta horrível experiência à ninguém
"Uma boa carta de vinhos, de várias nacionalidades, não me lembro de estar especificado no cardápio mas eles existem.","comida, bebida"
"Grande variedade de Pizzas, de massa fina, no sistema rodizio, saborosas, o custo-benefício e´ um dos atrativos da casa.","comida, bebida, preço, geral"
"O preço tá alto, a qualidade e quantidade das porções estão deprimentes, a carne vem com meio quilo de gordura derramando óleo e ignoram o ponto que o cliente pede... Foi triste essa última experiência!","comida, serviço, preço"
Ótimo ambiente e ótimas bebidas.,"ambiente, bebida"
"Experiência lamentável, sem exagero, pedi para ser atendido umas 3 vezes e os atendentes não vinham, passei aproximadamente 15 minutos em pé aguardando para sentar, depois de conseguir sentar passamos mais uns 25 minutos e não fomos atendidos.","serviço, ambiente"
"Ótimo lugar para ir com a família, bom atendimento, variedades de lanches, sorvetes bebidas e drinks.","<frase>serviço, ambiente, comida, bebida"
"sempre que tenho tempo, tom meu café regional !","vamos analisar a frase fornecida:""sempre que tenho tempo, tom meu café regional !""identificamos os seguintes temas na frase:- comida: representa a menção do café regional, que é um tipo de alimento consumido no restaurante- bebida: o café é uma bebida oferecida pelo restauranteportanto, a saída seria:comida, bebida"
Que café delicioso,"como um chatbot especializado em compreensão da língua portuguesa e análise de opiniões sobre restaurantes, eu posso identificar os temas presentes na frase fornecida:""que café delicioso""nesse caso, o tema identificado é:- comidaisso porque a expressão ""café delicioso"" está diretamente relacionada à comida servida no restaurante"
Churrasco e variedades saborosas,comida
"Experiência maravilhosa, muito atencioso, educado, cortes, prestativo… ???????","serviço, ambiente"
"Atendimento ótimo do Senna, ambiente aconchegante,espaçoso, som com boa escolha de estilos, a comida 100% maravilhosa e bem servida.","serviço, ambiente, comida, bebida"
"ambiente super agradável, carne de primeira, atendimento excelente, cerveja gelada","<frase>ambiente, comida, serviço, bebida"
"Experiência muito boa, pista e bolas de boliche sem defeitos, boa comida... Um bom lugar pra se divertir!","comida, bebida, ambiente"
"Música ao vivo, bons drinks e com ótima apresentação.","musica, bebida, apresentacao"
"Adorei conhecer o local, tive uma boa primeira impressão.",geral
"Os pratos servidos lá conseguem combinar sabores regionais e ingredientes internacionais, o que começa com o caldinho de entrada.","comida, serviço"
"Marcela foi super atenciosa <3 Petiscos deliciosos e no tempo, e as bebidas pra acompanhar ?","serviço, comida, bebida"
"Cerveja gelada, petiscos bons (especialmente o bolinho de bacalhau).","bebida, comida"
"Situado ao lado do Teatro Amazonas num sobrado antigo, esse espaço serve para um agradável  fim de noite para o público que vai ao Teatro.","localização, ambiente"
Enfim uma excelente opcao de lazer.,geral
"Ótimo atendimento, temperatura agradável","serviço, ambiente"
"Além de possuir cervejas amazonenses, possuem cervejas de todos os locais do Brasil (ex: Cerpa) Para comer, experimentei...Mais","bebida, comida, serviço"
"Atendimento maravilhoso, bem localizado é um sushi divino.","<frase>serviço, ambiente, comida, localização"
